"","ID","XCOO","YCOO","ELEV","COUN","ASP","GENLAN","TOPO","GROUNDVEG","TREELAY","VEG_ZONE","Date","SAMP","SPECIES","LITO","C_PAR","TOPC","WEATH","TEMP","Ag","Al","As","Au","B","Ba","Be","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","La","Mg","Mn","Mo","Na","Ni","P","Pb","Pd","Pt","Rb","S","Sb","Sc","Se","Si","Sr","Th","Tl","U","V","Y","Zn"
"294",377,557776.4,7434098,280,"FIN","FLAT","FLAT","FLAT","MOSS","SPRBI","BOREAL_FOREST",950628,"RPVM","HSDR",7,"TILL",38,"DRY",15,0.022,195,0.132,0.03,0.58,15.6,0.015,0.019,2350,0.07,0.25,1.04,4.58,239,0.049,3830,0.35,898,644,0.076,23.9,2.6,1180,3.65,1.63,0.2,20.1,735,0.03,0.05,0.4,258,3.89,0.035,0.031,0.014,1.63,0.05,26.5
"295",378,854971.5,7517066,210,"RUS","N","HIMO","LOWBRLOW","MOSS","PINE","BOREAL_FOREST",950716,"Semenov","PSDR",6,"FLUVG",25,"DRY",16,0.033,203,0.061,0.06,1.81,11,0.015,0.012,2370,0.1,0.26,0.49,7.31,167,0.03,6430,0.35,1050,729,0.057,266,4.86,1200,2.54,1.14,0.4,33.5,792,0.038,0.05,0.4,166,23.2,0.024,0.019,0.011,1.69,0.05,40.3
"296",380,631390.3,7549802,160,"RUS","S","RIDGE","FLAT","LICHEN","PINE","BOREAL_FOREST",950622,"Semenov","PSSC",1,"FLUVG",45,"DRY",16,0.037,398,0.161,0.5,1.71,17.8,0.015,0.019,2990,0.08,0.39,1.31,7.02,454,0.084,4100,0.35,880,689,0.063,66.1,5.81,838,3.43,1.01,0.2,17.3,739,0.038,0.1,0.4,297,7.57,0.102,0.069,0.02,2.44,0.1,25.6
"297",382,677233.7,7503113,180,"RUS","SW","SLOPE","LOWBRLOW","LICHEN","PIBI","BOREAL_FOREST",950813,"Smirnov","HSDR",1,"TILL",29,"DRY",20,0.058,307,0.202,0.03,3.98,20.5,0.015,0.043,2810,0.116,1.17,1.13,11.5,2890,0.053,4970,0.8,1240,571,0.132,70.1,10.4,1530,2.64,1.78,0.3,18.4,896,0.035,0.2,0.4,258,13.2,0.036,0.043,0.027,10.4,0.1,35.8
"298",384,506550,7792700,300,"NOR","FLAT","PLAIN","FLAT","MOSS","BIRCH","DWARF_SHRUB_TUNDRA",950724,"JHGKTV","PSSC",10,"FLUVG",49,"MIX",9,0.012,59.9,0.044,0.29,0.9,19.6,0.015,0.002,2970,0.082,0.18,0.42,3.38,64,0.029,6100,0.35,1420,251,0.034,69.6,1.84,1840,1.27,0.47,0.1,4.64,757,0.011,0.05,0.4,81.2,10.9,0.006,0.005,0.005,0.38,0.05,62.9
"299",386,693437.9,7434431,140,"RUS","S","SLOPE","LOWBRLOW","GRASS","BIRCH","BOREAL_FOREST",950708,"Smirnov","HSSC",1,"TILL",57,"DRY",16,0.044,230,0.169,0.31,3.29,30.5,0.015,0.027,4610,0.137,0.43,0.52,8.32,259,0.05,5420,0.35,1500,328,0.117,74.1,5.57,1820,3.8,0.99,0.2,15.1,995,0.039,0.05,0.4,265,26.7,0.029,0.026,0.012,2.28,0.05,49.3
"300",387,643621.4,7587169,140,"RUS","SW","RIDGE","CONCLOW","MOSS","BIRCH","BOREAL_FOREST",950817,"Pavlov","HSDC",32,"TILL",39,"DRY",18,0.025,92.3,0.113,0.4,5.19,15.9,0.015,0.019,2330,0.083,0.23,0.36,5.8,88,0.03,4350,0.35,1150,408,0.057,153,4.36,1390,1.4,0.67,0.2,11.1,818,0.089,0.05,0.4,141,6.38,0.018,0.008,0.007,0.99,0.05,45.9
"301",388,661907.8,7525341,180,"RUS","NE","RIDGE","LOWBRLOW","LICHEN","SPARCEPI","BOREAL_FOREST",950626,"Semenov","HSSC",1,"FLUVG",30,"RAIN",15,0.059,175,0.231,0.29,3.11,18.5,0.015,0.035,2840,0.099,0.39,0.43,10.9,208,0.059,4290,0.35,1020,429,0.122,61.4,7.29,1270,2.81,1.18,0.2,24.1,849,0.048,0.05,0.4,159,7.39,0.018,0.036,0.012,2.74,0.05,28.8
"302",391,606106.6,7472932,310,"FIN","NE","PLAIN","CONCLOW","MOSS","SPRUCE","BOREAL_FOREST",950712,"VMRPMA","HSSC",1,"TILL",31,"MIX",10,0.034,172,0.178,0.2,1.13,24.5,0.015,0.022,2410,0.081,0.24,0.5,6.38,164,0.093,3600,0.35,786,699,0.102,26.2,3.27,1220,4.58,0.48,0.1,19.1,770,0.048,0.05,0.4,181,10.5,0.023,0.051,0.01,1.88,0.05,47.9
"303",392,749081.3,7708083,110,"RUS","NW","RIDGE","UPBRLOW","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950810,"Pavlov","HSSC",4,"TILLSAP",55,"MIX",8,0.082,340,0.372,0.39,3.79,16.9,0.015,0.034,2910,0.102,0.93,1.42,20.6,514,0.077,3770,0.35,1260,78,0.128,164,22.5,1390,4.74,1.94,0.4,3.75,933,0.074,0.05,0.4,277,19.4,0.047,0.031,0.03,7.85,0.05,19.3
"304",393,442462,7757557,380,"NOR","FLAT","HIMO","FLAT","MOSS","BIRCH","DWARF_SHRUB_TUNDRA",950720,"CRPCTV","HSDR",31,"TILL",49,"DRY",10,0.013,797,0.109,0.15,1.03,11.2,0.015,0.009,2040,0.037,0.63,4.28,3.97,1350,0.06,3380,0.35,1240,356,0.057,79.5,2.91,1110,1.95,0.6,0.2,6.15,650,0.016,0.3,0.4,394,4.55,0.102,0.011,0.032,4.43,0.3,28.1
"305",395,650230.2,7485217,285,"RUS","E","SLOPE","LOWBRLOW","MOSS","BISPR","BOREAL_FOREST",950813,"Smirnov","HSDR",1,"TILL",32,"DRY",18,0.033,294,0.143,0.28,2.57,22.8,0.015,0.029,2990,0.088,0.51,0.81,8.67,464,0.044,3800,0.35,1220,762,0.091,38,6.15,1490,2.56,0.83,0.1,9.83,946,0.034,0.05,0.4,308,12.5,0.047,0.017,0.03,5.1,0.1,26.3
"306",396,493652.6,7678347,260,"FIN","NW","PLAIN","CONCLOW","MOSS","BIPI","BOREAL_FOREST",950711,"JA","HSDC",31,"TILL",36,"MIX",10,0.021,94.3,0.144,4.74,0.63,12.9,0.015,0.012,2190,0.063,0.22,0.32,5.31,89.3,0.046,3480,0.35,897,382,0.055,48.7,3.48,1110,2.06,0.3,0.1,8.12,738,0.023,0.05,0.4,95.6,5.61,0.009,0.017,0.005,0.85,0.05,39.2
"307",397,850934.9,7558529,170,"RUS","FLAT","PLAIN","FLAT","MOSS","BISPR","BOREAL_FOREST",950730,"Semenov","HSDR",20,"TILL",55,"DRY",18,0.033,138,0.128,0.17,3.22,12.5,0.015,0.021,2230,0.105,0.35,0.33,7.85,114,0.056,4650,0.35,1010,614,0.086,169,6.79,1380,1.64,0.93,0.2,16.1,838,0.017,0.05,0.4,141,20.3,0.017,0.012,0.01,1.36,0.05,35.4
"308",398,517342.9,7526460,255,"FIN","NW","PLAIN","CONCLOW","MOSS","SPRPIBI","BOREAL_FOREST",950811,"RPVM","HSDC",51,"TILL",41,"DRY",9,0.021,136,0.129,0.28,0.79,14,0.015,0.01,2450,0.083,0.22,0.54,4.78,141,0.087,3200,0.35,915,329,0.094,28.7,2.35,991,3.02,0.27,0.2,11.8,758,0.038,0.05,0.4,166,3.86,0.019,0.035,0.008,1.07,0.05,45
"309",399,584700,7647900,150,"RUS","FLAT","PLAIN","TOP","LICHEN","PINE","BOREAL_FOREST",950824,"Pavlov","PSSC",20,"TILL",35,"DRY",12,0.026,126,0.136,0.13,2.41,16.3,0.015,0.014,2980,0.088,0.35,0.4,7.59,148,0.076,5680,0.35,1280,359,0.045,160,8.5,1280,1.93,0.41,0.1,12.3,999,0.076,0.1,0.4,223,6.35,0.016,0.082,0.005,0.88,0.1,30.7
"310",401,791454.1,7640134,220,"RUS","SW","RIDGE","LOWBRLOW","LICHEN","BIRCH","FOREST_TUNDRA",950727,"Semenov","PSSC",4,"TILL",27,"DRY",18,0.124,282,0.253,0.52,2.31,19.8,0.015,0.061,2530,0.298,2.08,0.91,45.2,492,0.038,5430,0.35,1030,501,0.203,104,44.9,1310,4.52,6.78,2.9,7.79,890,0.062,0.05,0.4,281,11.8,0.033,0.027,0.024,4.25,0.1,29.2
"311",406,514194.2,7480579,270,"FIN","NE","PLAIN","CONCLOW","","","",959710,"VMRP","HSSC",51,"TILL",28,"MIX",10,0.02,106,0.072,0.14,0.52,19.4,0.015,0.01,2680,0.06,0.19,0.25,3.46,92.4,0.032,4170,0.35,1130,331,0.036,55,2.45,1150,2.22,0.23,0.1,10.3,702,0.025,0.05,0.4,133,4.33,0.011,0.005,0.005,0.71,0.05,29.6
"312",407,735147.9,7541214,190,"RUS","SW","HIMO","LOWBRLOW","SHRUBS","BIRCH","",950823,"Semenov","HSDC",6,"TILLSAP",10,"MIX",8,0.151,234,0.393,0.82,4.12,8.82,0.015,0.11,4240,0.344,2.04,0.7,37.6,234,0.037,5990,0.35,688,28.5,0.296,199,53,1070,2.64,11.8,2.3,10.9,959,0.115,0.05,0.4,283,15.1,0.024,0.011,0.009,2.16,0.1,16.4
"313",408,482101,7847288,50,"NOR","SW","DEEPVAL","CONCLOW","MOSS","","TUNDRA",950719,"GKOJTF","PSSC",10,"TILLSAP",57,"DRY",12,0.039,175,0.12,0.1,1.69,26.3,0.015,0.017,2650,0.062,0.16,0.34,4.52,172,0.064,4400,0.35,1670,212,0.071,249,2.55,942,8.15,0.31,0.1,5.59,712,0.045,0.05,0.4,230,19.1,0.021,0.014,0.02,1.93,0.05,17.2
"314",409,406188.3,7598130,355,"FIN","NE","PLAIN","CONVLOW","LICHEN","BIRCH","FOREST_TUNDRA",950801,"MLR","HSSC",1,"TILL",37,"DRY",24,0.019,215,0.057,0.1,0.25,13.8,0.015,0.005,2290,0.075,0.17,0.37,2.69,116,0.04,4310,0.35,1010,405,0.047,37.3,1.6,1200,2.45,0.18,0.1,23.9,673,0.025,0.05,0.4,138,6.61,0.02,0.016,0.011,0.92,0.05,32.2
"315",410,553128.3,7443094,280,"FIN","FLAT","FLAT","FLAT","MOSS","SPRBI","BOREAL_FOREST",950628,"VMRP","HSDR",51,"TILL&SAP",33,"DRY",14,0.031,303,0.172,0.15,1.92,13.4,0.015,0.021,2430,0.089,0.42,2,5.94,434,0.037,3870,0.35,928,590,0.101,29.4,3.51,1070,3.47,0.83,0.1,12.1,806,0.032,0.05,0.4,312,3.37,0.063,0.027,0.016,2.6,0.1,32.6
"316",411,625775.5,7636068,230,"RUS","S","RIDGE","CONCMED","MOSS","SPRBI","BOREAL_FOREST",950824,"Pavlov","HSDR",32,"TILL",42,"DRY",14,0.034,119,0.262,0.34,3.7,29,0.015,0.035,2620,0.108,0.5,0.71,11.3,147,0.039,4450,0.35,889,452,0.062,281,11.8,1490,1.96,0.85,0.1,11.6,889,0.204,0.05,0.4,164,10.8,0.016,0.015,0.004,1.36,0.05,45.7
"317",412,592915,7790280,250,"NOR","S","SLOPE","UPTER","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950729,"GKJHTV","PSSC",9,"TILL",37,"MIX",NA,0.027,146,0.119,0.14,1.8,21.1,0.015,0.012,2870,0.075,0.33,0.45,6.56,141,0.044,5720,0.35,1330,587,0.047,75.4,5.74,1800,2.31,0.31,0.2,6.96,1010,0.028,0.05,0.4,203,8.34,0.013,0.009,0.006,0.92,0.05,36.7
"318",413,616800,7822800,30,"NOR","FLAT","DEEPVAL","FLATTER","MOSS","BIRCH","DWARF_SHRUB_TUNDRA",950727,"GKJHOJ","HSSC",9,"FLUVG",82,"",12,0.035,264,0.297,0.25,3.25,26.7,0.015,0.034,4010,0.076,0.37,1.13,9.67,305,0.045,3570,0.35,1820,223,0.139,124,8.57,1130,6.43,0.54,0.1,2.82,894,0.069,0.05,0.4,322,19.8,0.039,0.029,0.055,3.11,0.05,22.3
"319",414,640449.8,7675994,140,"RUS","FLAT","PLAIN","TOP","LICHEN","BIRCH","FOREST_TUNDRA",950816,"Pavlov","HSSC",51,"FLUVG",56,"MIX",18,0.032,177,0.78,0.16,2.66,23.1,0.015,0.032,3290,0.126,2.16,1.56,39.4,570,0.037,3160,0.35,950,239,0.092,89.1,64.8,836,2.76,0.99,0.4,5.09,944,0.05,0.05,0.4,255,11.1,0.027,0.018,0.019,1.87,0.05,23.2
"320",415,753970,7530679,170,"RUS","SE","RIDGE","LOWBRLOW","MOSS","SPRBI","BOREAL_FOREST",950823,"Semenov","HSSC",52,"TILL",35,"MIX",8,0.399,1840,1.16,2.89,5.26,52.9,0.11,0.244,4460,0.518,7.66,2.76,139,1680,0.077,8590,4.4,1330,288,0.731,407,186,2370,3.83,47.8,6.3,17.4,1290,0.176,0.05,0.4,519,61.4,0.067,0.026,0.073,9.68,1,35.5
"321",416,673123.9,7675886,260,"RUS","N","RIDGE","CONVLOW","MOSS","BIRCH","FOREST_TUNDRA",950815,"Semenov","HSDC",21,"TILL",37,"DRY",18,0.048,159,0.498,0.23,4.49,8.65,0.015,0.022,2590,0.12,2.1,1.54,42.2,530,0.073,5340,0.35,1310,293,0.092,149,67.5,1640,2.14,1.16,0.2,12.8,1140,0.059,0.05,0.4,202,7.2,0.021,0.015,0.008,2.54,0.05,38.7
"322",417,663617.5,7499479,180,"RUS","NW","RIDGE","LOWBRLOW","LICHEN","PINE","BOREAL_FOREST",950624,"Semenov","HSSC",1,"FLUVG",30,"DRY",20,0.062,318,0.196,0.12,1.7,17.5,0.015,0.036,2960,0.115,0.83,0.92,11.8,591,0.058,4890,0.35,1010,598,0.106,65.4,10.8,1150,3.15,1.57,0.2,26.6,855,0.037,0.05,0.4,263,19,0.05,0.072,0.031,7.58,0.1,23.7
"323",418,562024.6,7540954,260,"FIN","NE","PLAIN","CONCLOW","MOSS","PIBI","BOREAL_FOREST",950810,"RPAV","HSSC",1,"FLUV",75,"RAIN",6,0.017,127,0.118,0.16,0.25,20.4,0.015,0.012,3150,0.074,0.17,0.45,4.43,98.1,0.038,3150,0.35,699,834,0.05,25.9,2.09,783,2.03,0.18,0.1,5.87,742,0.025,0.1,0.4,195,5.61,0.014,0.014,0.004,0.88,0.05,64.3
"324",421,399890.9,7515364,215,"FIN","NE","FLAT","CONCLOW","MOSS","PISPR","BOREAL_FOREST",950828,"MARP","HSSC",51,"TILL&SAP",35,"MIX",10,0.024,135,0.109,2.04,0.25,13.6,0.015,0.013,2400,0.073,0.28,0.56,4.76,145,0.036,4310,0.35,957,609,0.08,66.8,1.59,1270,2.76,0.12,0.1,17.6,770,0.032,0.05,0.4,140,4.49,0.018,0.044,0.008,1.41,0.05,27.8
"325",422,575100,7637100,220,"RUS","SW","RIDGE","LOWBRLOW","LICHEN","PIBI","BOREAL_FOREST",950825,"Smirnov","HSDR",32,"TILL",39,"DRY",12,0.049,212,0.259,0.16,0.25,18.3,0.015,0.022,2000,0.082,0.46,0.66,8.26,205,0.034,3990,0.35,871,315,0.05,82.5,7.92,1010,2.22,0.44,0.1,8.75,806,0.032,0.05,0.4,195,7.29,0.025,0.023,0.005,1.27,0.05,29.6
"326",423,406350,7648600,360,"NOR","E","SLOPE","CONCLOW","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950714,"JHOJTV","PSSC",1,"TILL",50,"DRY",10,0.024,210,0.098,0.14,0.25,22.7,0.015,0.01,3050,0.067,0.23,0.26,3.4,82.5,0.038,4980,0.35,1090,470,0.038,37.3,1.64,1250,2.23,0.09,0.1,14.4,822,0.033,0.05,0.4,228,10.1,0.012,0.024,0.006,0.76,0.05,29.9
"327",424,701632.7,7670140,180,"RUS","E","RIDGE","LOWBRMED","LICHEN","BIRCH","FOREST_TUNDRA",950810,"Semenov","HSSC",21,"TILL",40,"MIX",8,0.033,136,0.267,0.52,0.7,15.2,0.015,0.018,2580,0.172,0.99,0.9,17.8,228,0.037,4720,0.35,1150,358,0.208,262,19.9,1250,1.42,0.83,0.2,6.37,981,0.033,0.05,0.4,196,10.3,0.062,0.012,0.005,1.67,0.05,42.6
"328",425,646548.6,7437132,160,"RUS","FLAT","FLAT","FLAT","MOSS","PINE","BOREAL_FOREST",950711,"Smirnov","HSSC",1,"FLUVG",50,"DRY",12,0.05,339,0.153,0.19,0.25,21.2,0.015,0.022,3220,0.117,0.37,0.81,7.6,249,0.039,6370,0.35,1720,626,0.097,57.7,3.7,2080,3.16,0.39,0.1,21.6,1090,0.044,0.05,0.4,220,11.9,0.046,0.031,0.011,2.12,0.05,55.5
"329",427,795826.1,7593390,250,"RUS","NW","RIDGE","LOWBRLOW","MOSS","BIRCH","FOREST_TUNDRA",950730,"Semenov","HSDC",20,"TILL",40,"DRY",20,0.099,493,0.439,0.43,0.25,39.8,0.06,0.035,3500,0.187,2.12,0.87,29.3,500,0.082,4810,0.9,1220,219,0.209,172,35.4,1360,3.19,5.05,1.1,11.1,1120,0.068,0.05,0.4,275,28,0.04,0.025,0.021,2.98,0.2,27.3
"330",428,781926.6,7609029,280,"RUS","W","SLOPE","LOWBRLOW","MOSS","BISPR","BOREAL_FOREST",950801,"Semenov","HSDC",20,"TILL",60,"DRY",20,0.136,227,0.324,1.64,2.76,20.6,0.015,0.048,3350,0.463,1.8,0.79,29.7,318,0.128,4300,0.35,1080,132,0.19,82.6,33.5,1010,3.52,6.71,1.1,10.7,871,0.054,0.1,0.4,247,24.5,0.035,0.021,0.015,2.93,0.1,20.3
"331",429,685991.6,7663579,160,"RUS","W","RIDGE","CONCLOW","MOSS","PIBI","BOREAL_FOREST",950815,"Semenov","HSDC",7,"TILLSAP",33,"DRY",18,0.04,146,0.283,0.19,2.63,15.6,0.015,0.022,2240,0.08,0.84,0.78,17.6,253,0.05,4250,0.35,1070,249,0.067,177,26.5,1280,1.97,1.01,0.3,10.9,937,0.102,0.05,0.4,164,8.49,0.02,0.021,0.007,1.63,0.05,28.5
"332",430,727133.3,7549180,440,"RUS","SW","HIMO","CONCLOW","LICHEN","SPARCEBI","FOREST_TUNDRA",950823,"Pavlov","HSDC",6,"TILL",50,"MIX",11,0.091,564,0.29,0.46,1.91,20.4,0.015,0.071,2680,0.133,0.95,0.99,18.1,488,0.048,4180,0.35,887,269,0.143,368,19.9,1170,2.89,3.54,0.7,9.44,890,0.056,0.05,0.4,317,13.4,0.055,0.014,0.016,2.82,0.2,35.8
"333",432,765916.1,7400114,20,"RUS","N","RIDGE","CONCLOW","MOSS","MIX","BOREAL_FOREST",950714,"Katanaev","HSDR",1,"TILLSAP",40,"MIX",8,0.039,242,0.217,0.11,3.83,20.2,0.015,0.017,2680,0.082,0.49,0.54,10.4,378,0.074,4800,0.35,1080,453,0.089,111,7.24,1510,2.58,1.04,0.2,18.7,967,0.047,0.05,0.4,206,9.03,0.023,0.034,0.014,2.01,0.05,37.6
"334",436,469462.5,7479329,230,"FIN","FLAT","FLAT","FLAT","MOSS","PINE","BOREAL_FOREST",950817,"RPAV","HSSC",51,"TILL&SAP",42,"DRY",18,0.03,378,0.138,0.14,1.2,43.7,0.11,0.019,3610,0.059,0.44,0.76,4.73,190,0.085,3490,1.2,900,145,0.066,32.5,2.84,909,5.04,0.17,0.1,15.5,764,0.047,0.05,0.4,189,38.3,0.032,0.065,0.029,1.75,0.3,19.7
"335",437,633082.3,7487974,280,"RUS","FLAT","PLAIN","TERR","LICHEN","PIBI","BOREAL_FOREST",950812,"Smirnov","HSDC",1,"FLUVG",51,"RAIN",13,0.024,303,0.14,0.1,2.27,10.3,0.015,0.018,2110,0.09,0.36,0.91,5.9,305,0.05,4740,0.35,1050,619,0.079,51.3,3.96,1420,2.33,0.36,0.2,23,917,0.027,0.05,0.4,254,9.38,0.032,0.031,0.014,1.86,0.05,44.1
"336",438,424530.8,7540504,215,"FIN","W","PLAIN","CONCLOW","MOSS","PISPR","BOREAL_FOREST",950829,"MARP","HSSC",51,"TILL",52,"DRY",10,0.041,269,0.119,18.8,0.25,9.89,0.015,0.013,1940,0.067,0.24,0.66,4.24,139,0.082,3700,0.35,773,506,0.07,32.8,1.53,982,3.25,0.07,0.1,18.1,737,0.035,0.05,0.4,196,4.19,0.018,0.065,0.007,1.26,0.05,26.7
"337",439,393963.4,7473232,245,"FIN","NE","PLAIN","CONCLOW","MOSS","PISPRBI","BOREAL_FOREST",950719,"VGMARS","HSSC",1,"TILL",45,"DRY",15,0.019,172,0.125,0.27,1.24,31.5,0.015,0.016,3180,0.1,0.15,0.81,5.32,175,0.059,4570,0.35,1220,623,0.093,30.2,1.81,1550,3.49,0.11,0.1,22.5,873,0.048,0.05,0.4,189,10.9,0.027,0.062,0.01,1.59,0.05,39.2
"338",440,777228.9,7532439,340,"RUS","NE","HIMO","UPBRLOW","MOSS","SPRBI","BOREAL_FOREST",950627,"Smirnov","HSSC",82,"TILLSAP",28,"SNOW",3,0.186,615,0.492,0.55,2.84,36.3,0.08,0.076,2770,0.241,2.08,1.09,56.4,510,0.05,4140,1.2,830,262,0.274,98,49,1390,8.32,8.07,1.6,14.3,1000,0.117,0.05,0.4,308,90.2,0.068,0.036,0.045,9.75,0.3,36.1
"339",441,677587.6,7477721,240,"RUS","S","RIDGE","LOWBRLOW","LICHEN","PINE","BOREAL_FOREST",950627,"Semenov","PSSC",1,"FLUVG",35,"MIX",14,0.071,220,0.228,0.21,3.24,19.6,0.015,0.045,2760,0.166,0.67,0.52,13.2,264,0.041,5030,0.35,1180,444,0.1,55.6,11.3,1290,5,1.56,0.2,23.2,993,0.051,0.05,0.4,222,8.52,0.024,0.105,0.015,3.04,0.05,36.1
"340",442,617851.8,7508567,365,"FIN","W","PLAIN","CONCLOW","MOSS","SPRUCE","BOREAL_FOREST",950713,"RPVM","HSSC",1,"TILL",46,"MIX",9,0.045,247,0.222,0.14,1.42,15.7,0.015,0.038,2040,0.105,0.41,0.68,8.2,259,0.065,3610,0.35,621,462,0.087,50.8,5.62,1050,3.56,0.55,0.1,13.5,784,0.047,0.05,0.4,302,9.16,0.042,0.03,0.018,2.15,0.05,47.3
"341",443,541130,7763100,200,"NOR","E","RIDGE","LOWBRLO","MOSS","BIRCH","FOREST_TUNDRA",950730,"JHOJTV","HSDC",20,"TILL",36,"DRY",22,0.019,119,0.099,0.76,3.47,30,0.015,0.007,2960,0.039,0.19,0.33,5.21,99.6,0.041,3970,0.35,1330,644,0.048,57.3,3.13,1340,1.44,0.14,0.1,7.85,853,0.019,0.05,0.4,181,11.5,0.01,0.01,0.006,0.58,0.05,36.4
"342",444,850684.2,7538382,190,"RUS","E","PLAIN","CONCMED","MOSS","SPRBI","BOREAL_FOREST",950716,"Semenov","PSSC",20,"TILL",30,"DRY",16,0.035,176,0.11,0.08,2.79,17.6,0.015,0.012,2480,0.062,0.29,0.38,6.23,121,0.032,4890,0.35,912,585,0.045,166,4.75,1030,2.04,1.66,0.3,18.5,853,0.027,0.05,0.4,141,49.3,0.026,0.013,0.01,1.47,0.05,36.5
"343",445,798791.1,7465742,80,"RUS","FLAT","RIDGE","TOP","MOSS","BISPR","BOREAL_FOREST",950714,"Katanaev","PSDC",1,"FLUVG",60,"MIX",8,0.065,339,0.184,0.26,2.73,27,0.015,0.035,2910,0.128,0.83,0.6,17.7,295,0.072,5390,0.8,943,549,0.103,97,17.4,1160,4,2.67,0.4,17.9,916,0.059,0.05,0.4,235,17.1,0.047,0.045,0.017,3.25,0.2,33
"344",447,726451.3,7742858,150,"RUS","FLAT","PLAIN","TOP","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950815,"Pavlov","PSSC",9,"TILLSAP",46,"DRY",12,0.05,206,0.145,0.23,2.78,20.6,0.015,0.019,2220,0.106,0.58,0.85,13,253,0.04,5310,0.35,1070,343,0.056,371,14.4,1300,3.9,1.05,0.1,7.92,847,0.118,0.05,0.4,178,7.65,0.044,0.024,0.01,2.19,0.05,27.2
"345",448,611379,7805800,180,"NOR","FLAT","LOWMO","FLATTER","MOSS","BIRCH","DWARF_SHRUB_TUNDRA",950728,"GKOJTV","HSSC",9,"FLUV",52,"MIX",10,0.034,1510,0.375,0.07,3.58,17.9,0.06,0.023,1930,0.057,0.75,2.1,7.95,1430,0.071,4310,1.3,1260,495,0.065,71.9,6.47,1360,3.5,0.5,0.1,4.8,894,0.029,0.3,0.4,588,9.99,0.334,0.026,0.072,3.32,0.6,35.9
"346",452,560450,7756750,260,"NOR","S","SLOPE","CONCLOW","LICHEN","BIRCH","FOREST_TUNDRA",950725,"JHGKTV","HSDC",20,"FLUVG",43,"MIX",12,0.02,157,0.166,1.68,2.77,27.4,0.04,0.007,3210,0.078,0.43,0.31,5.95,218,0.037,3390,0.35,1020,271,0.072,72.2,4.36,911,1.96,0.23,0.1,7.65,823,0.025,0.05,0.4,273,16.8,0.017,0.012,0.01,0.97,0.2,24.9
"347",453,675508.3,7590987,130,"RUS","S","PLAIN","UPBRMED","LICHEN","PIBI","BOREAL_FOREST",950801,"Smirnov","PSSC",6,"TILL",52,"DRY",25,0.058,164,0.127,0.09,1.58,15.5,0.015,0.018,1960,0.143,0.39,0.41,7.05,159,0.026,4700,0.35,994,410,0.045,87.1,5.81,1100,2.6,0.54,0.1,18.1,806,0.032,0.05,0.4,185,7.1,0.014,0.012,0.002,1.44,0.05,26.6
"348",454,540620,7858000,120,"NOR","S","SLOPE","TERRLOW","MOSS","","TUNDRA",950726,"JHOJTV","PSSC",10,"TILL",30,"DRY",10,0.028,119,0.107,0.16,2.43,15.6,0.015,0.011,3200,0.049,0.2,0.48,5.45,138,0.038,3890,0.35,1440,225,0.077,174,2.58,1160,2.63,0.1,0.1,4.49,833,0.032,0.05,0.4,173,18.6,0.022,0.016,0.015,1.07,0.05,13.7
"349",455,401650,7693100,380,"NOR","FLAT","LOWMO","FLAT","LICHEN","BIRCH","DWARF_SHRUB_TUNDRA",950718,"JCPCTF","PSDC",1,"TILL",40,"MIX",14,0.017,109,0.063,0.64,1.4,21.1,0.015,0.008,2850,0.045,0.14,0.1,2.63,54.5,0.026,3910,0.35,924,481,0.022,44.8,1.48,1030,1.83,0.08,0.1,13.3,709,0.026,0.05,0.4,116,5.01,0.013,0.005,0.002,0.51,0.05,25.7
"350",456,700690.1,7612044,150,"RUS","SW","RIDGE","CONVLOW","LICHEN","PIBI","BOREAL_FOREST",950813,"Semenov","PSDC",22,"TILL",55,"MIX",10,0.067,150,0.113,0.21,2,24.4,0.015,0.021,2740,0.122,0.73,0.46,15.9,181,0.03,5710,0.35,1200,309,0.077,70.2,16.6,1230,2.54,1.92,0.4,14,919,0.041,0.05,0.4,209,8.18,0.018,0.029,0.006,1.82,0.05,24.9
"351",457,421257.2,7404360,235,"FIN","S","PLAIN","CONCLOW","MOSS","PISPRBI","BOREAL_FOREST",950606,"RPMLRMA","HSSC",7,"TILL",42,"DRY",20,0.038,226,0.195,0.16,1.61,24.6,0.015,0.026,3100,0.122,0.21,1.67,5.48,195,0.05,3910,0.35,780,569,0.2,36.2,1.92,1180,6.68,0.63,0.1,16.8,925,0.06,0.05,0.4,196,7.8,0.027,0.113,0.011,2.41,0.05,35.3
"352",458,527338.8,7419504,200,"FIN","NE","PLAIN","CONVLOW","MOSS","PIBI","BOREAL_FOREST",950629,"RPVM","HSSC",51,"FLUV",51,"MIX",12,0.022,169,0.138,0.53,2.27,20.4,0.015,0.024,2560,0.071,0.2,0.73,5.13,172,0.041,4270,0.35,1010,695,0.091,35.5,1.88,1190,3.57,0.31,0.1,14,870,0.05,0.1,0.4,211,4.33,0.034,0.031,0.012,1.43,0.1,57.3
